text,HS,RS,MS
usuario usuario gonorrea coronavirus abordaje problema tanto complejo,1,0,0
perro hpta mexicano gonorrea,1,0,0
mk ir niche decir ir público alguien máteme quítelar luz porfavor,1,1,0
usuario usuario usuario primeramente dos,1,0,0
inepta claudia creer gente estupido gente durmiendo casa ir bajar,1,0,1
nombre gonorrea,1,0,0
usuario si perra vestido oveja emoji ovejo emoji jaja zorra bueno decir dicho,1,0,1
wtf meter señora ahí emoji cara gritar miedo emoji emoji cara gritar miedo emoji si negro agujero negro literal,1,1,0
malparido,1,0,1
hacer acabar fit9 emoji cara revés emoji necesitar proteína chocolate odio dólar emoji cara llorar fuerte emoji,1,0,0
ir volver niche agarrar broma ahora moda mmm mejor,1,1,0
dar malparido rabia dejar triple hpta cosa nevera comer yo bien atrevido comer él,1,0,0
gritar él viejo vídeo ejercicio cálmate care verga poder pausar vídeo tranquilamente idiotero,1,0,0
re malo cucho pirobo diseño emoji caro cabreado emoji,1,0,0
usuario lastimo poder implantar cerebro tonto,1,0,1
buen amigo diste duro yugular gonorrea,1,0,0
malparido menos mal morir,1,0,1
usuario usuario malparido 50 culpa,1,0,1
usuario jm nene esperas pirobo bobo,1,0,0
usuario gonorrea emoji cara revolver él risa emoji emoji cara llorar risa emoji emoji cara revolver él risa emoji emoji cara llorar risa emoji emoji cara revolver él risa emoji emoji cara llorar risa emoji emoji cara revolver él risa emoji emoji cara llorar risa emoji,1,0,0
usuario jaja gonorrea ome gonorrea emoji cara llorar risa emoji,1,0,0
enamorar man hpta url,1,0,0
hpta parte,1,0,0
gonorrea comer frente pobre,1,0,0
malparir cuarentén volver loco emoji cara desanimado emoji emoji cara desanimado emoji emoji cara desanimado emoji,1,0,0
usuario usuario salio chaves gonorrea,1,0,0
usuario vergonzantecinico cómplice reclutador depredador sexual niñosasquerós url,1,0,1
usuario oír pirobo emoji cara monóculo emoji emoji cara desaprobación emoji emoji cara desaprobación emoji emoji cara desaprobación emoji,1,0,0
así huevo dejaste corazón malparido url,1,0,1
marica cuarentena gente dejar ser chismós gonorrea,1,0,0
así hueco dejaste corazón malparido url,1,0,1
usuario joda si arder ardido cule filo oir jaja odio emoji cara llorar fuerte emoji emoji cara llorar fuerte emoji emoji cara llorar fuerte emoji emoji cara llorar risa emoji emoji cara llorar fuerte emoji emoji cara llorar risa emoji emoji cara llorar fuerte emoji emoji cara llorar risa emoji emoji cara llorar fuerte emoji emoji cara llorar risa emoji,1,0,0
dar cuenta amo daniel xq contestar siempre poner mala triste pirobo,1,0,0
usuario cobertura casa simio,1,1,0
gonorrea beso emoji cara grogui emoji,1,0,0
usuario inepto hacer renunciar url,1,0,1
ay hvn gonorrea querer chillar,1,0,0
usuario usuario uyyy gonorrea,1,0,0
usuario odio emoji cara enfadado emoji,1,0,0
tibio hpta,1,0,0
usuario jaja gonorrea hp,1,0,0
malparido pensar olvidaooo,1,0,1
usuario usuario perra hpmatador hpfin,1,0,1
vean hoyo asqueroso,1,0,0
hablar mierdamachorra hijueputa ineptafuera payasa,1,0,1
cule mondá asqueroso hey cule pena mondá,1,0,0
vean película hoyo asqueroso,1,0,0
bien mal gonorrea,1,0,0
gonorrea solo vivir decisión tomar ir,1,0,0
hp dejar él caer segundo piso dañar gonorrea,1,0,0
usuario usuario jaja uy gonorrea puteó ensayo,1,0,0
usuario usuario usuario jaja gonorrea menos mal,1,0,0
usuario usuario creer calidad medicina cubano mismo consultar indio amazónico,1,1,0
hey gonorreas sentar wtf,1,0,0
gonorrea twitter poder entrar relajado are,1,0,0
parchis busco gonorrea ome,1,0,0
parcir fastidio dar vez día amanecer feliz mundo rato ar re bajoniado gonorrea,1,0,0
repetir casa papel verdad tokio malparido cole,1,0,1
deber ser derecho cobrar agua vital ir dar internet gonorreas emoji cara favor emoji,1,0,0
insomnio tanto gonorrea,1,0,0
morite maldito loco,1,0,1
usuario usuario ñerda carajo golpe militar marido usuario adonde dejar perro hijueputa,1,0,0
usuario maldito loca creer trabajar seguir creer,1,0,1
usuario putas gonorrea emoji caro ansiedad sudor emoji emoji caro ansiedad sudor emoji emoji caro ansiedad sudor emoji,1,0,0
perra hp rabia pasar ahí tarde odiar agarrar rabia pasar así así,1,0,1
usuario politiquera oportunista bajar él tono hacer dividir país creser salvador machorra,1,0,1
usuario caro bandida jaja,1,0,1
usuario jaja odio emoji cara llorar emoji,1,0,0
usuario si parce pacer gonorrea tragen ansia,1,0,0
chiste tweet gonorrea,1,0,0
usuario emoji cara mareado emoji emoji cara llorar fuerte emoji emoji cara llorar fuerte emoji odio,1,0,0
extraño trabajo mo perra hpta jefe je,1,0,1
tú tanto hpta llenar favs nude valorar consejo cómo morir medio familia inestable pirobos,1,0,0
usuario gonorrea parar ojalá segundo round poner peligro bloque,1,0,0
chino uno gana beber malparidas usuario usuario usuario usuario,1,0,0
usuario usuario gonorrea emoji cara llorar risa emoji emoji cara revolver él risa emoji emoji cara llorar risa emoji,1,0,0
si gonorrea hijueputa,1,0,0
querer cagar palo tres pirobos vídeo gafa,1,0,0
cule mondá sad entrompandono camaramalparido vida cuarentén mondá,1,0,1
jaja vidapentamalparido,1,0,0
encierro aumentar depresión gonorrea,1,0,0
ver gonorreas pasar cielo xdd,1,0,0
usuario uy gonorrea querer vivo emoji cara asustado emoji,1,0,0
deezer ajustar jaja gonorrea url,1,0,0
dar clase cómo ser remalparir,1,0,1
tokiooo aaa jueputa vida malparidaaa,1,0,0
usuario maldito loca,1,0,1
hpta hpta escena emoji corazón roto emoji emoji corazón roto emoji emoji cara favor emoji emoji cara favor emoji emoji corazón roto emoji emoji corazón roto emoji emoji corazón roto emoji emoji cara llorar fuerte emoji emoji cara llorar fuerte emoji emoji cara llorar fuerte emoji lcdp4,1,0,0
usuario uuufff hermoso bebé,1,0,1
uy gonorrea debuén jaja,1,0,0
usuario así querer soltar mano gonorrea delicuent,1,0,0
gonorrea temporada usuario usuario emoji colisión emoji emoji colisión emoji emoji colisión emoji emoji fuego emoji emoji fuego emoji emoji colisión emoji emoji cara favor emoji emoji cara favor emoji emoji cara favor emoji pornairobi lcdp4 guerra continuo lcdp5 emoji colisión emoji emoji colisión emoji emoji colisión emoji,1,0,0
gonorrea temporada usuario usuario emoji colisión emoji emoji colisión emoji emoji colisión emoji emoji fuego emoji emoji fuego emoji emoji colisión emoji emoji cara favor emoji emoji cara favor emoji emoji cara favor emoji esanolavivenir emoji cara favor emoji emoji cara favor emoji emoji cara favor emoji emoji cara llorar fuerte emoji emoji cara llorar fuerte emoji emoji cara llorar fuerte emoji emoji corazón roto emoji emoji corazón roto emoji lcdp4 guerra continuo lcdp5 emoji colisión emoji emoji colisión emoji emoji colisión emoji,1,0,0
doble moral uribista descarado ignorante gonorrea,1,0,0
usuario corrupto ud robar 300 mil millón consulta estúpido dar ero colombiano renunciar inepto,1,0,1
ay gonorrea mano masapedazo mierda,1,0,0
usuario decir olor emanar asqueroso boca,1,0,0
crisisel lider buscar solucionesla inepto busca culpablesusuario emoji pulgar hacia arriba emoji emoji bandera colombia emoji usuario url,1,0,1
usuario uy gonorrea hpta tanto desechable jajo suficiente decir nunca nunca tirar molocha,1,0,0
pelo niga canción gustar url,1,1,0
usuario odio elena gilbert emoji cara sonreir ligeramente emoji,1,0,0
maldito loca usuario,1,0,1
señora disparar conjunto gonorrea jaja,1,0,0
llegar cb cancelar pirobos,1,0,0
usuario malnacido deber preso ud,1,0,0
usuario decir gratis opinar señor alcalde bogotanos asqueroso larva chavista esperar momento,1,0,1
hombre mantener decir él mujer bandida asolapado enseñar casa ver espejo,1,0,1
usuario usuario conservador 2020,1,0,1
metrooos vida querer verteee malparidaaa,1,0,1
usuario usuario uy gonorrea jaja url,1,0,0
gonorrea pelear paso jugar emoji caro desanimado emoji emoji caro ansiedad sudor emoji,1,0,0
uno amiga ufff falso malparida,1,0,1
usuario usuario típico bandidazo,1,0,1
gonorrea emoji corazón roto emoji emoji cara llorar fuerte emoji,1,0,0
gente si asqueroso,1,0,0
fotógrafo acabar pasar uno chimbaaass foto gonorreaaa amoo hermoso divino exotico,1,0,0
usuario emoji cara grogui emoji odio hacer yo leer hilo tanto largo,1,0,0
decir filósofo paisa gonorrea hijueputa hombre,1,0,0
malparida pelear poder tener peor vecino generar mucho ansiedad aaahhhg,1,0,1
gonorrea coger burla vaina decir,1,0,0
insulto vecino malparido siempre colocar ver serie prender planta volumen emoji carar ojo blanco emoji emoji dedo corazón hacia arriba emoji,1,0,1
usuario usuario usuario señora inepta saber contar,1,0,1
persona ocurrir meter materia emprendimiento pensum microbiología querer sepas odio,1,0,0
gonorrea partido madre,1,0,0
usuario yooo tambiénnn bandida todo mentir,1,0,1
buena persona pasar cosa tanto gonorrea emoji cara revés emoji,1,0,0
negro teta blanco,1,1,1
jaja gonorrea temporada,1,0,0
gente gonorrea importaculista,1,0,0
usuario gonorrea ome,1,0,0
losss odio hpta vida,1,0,0
saber todo mentir aterrar ver cómo mujer novio tanto bandida,1,0,1
caca si propio gonorrea hpta crisis pedir protesta ser malparido,1,0,0
ver alguien morir después 5 minuto reanimación gonorrea parcir emoji cara favor emoji emoji cara favor emoji emoji cara favor emoji,1,0,0
usuario ay comer verga negro curtir,1,1,1
tener sticker cosa emocionante malparido cuarentén,1,0,0
usuario si malparir serie,1,0,0
usuario venir alguien pensar odiar hombre deber poder esperar cualquiera cosa,1,0,1
usuario odio emoji cara calor emoji,1,0,0
usuario usuario usuario esperar gran despertar humanidad,1,0,1
malparido música poner cachon,1,0,0
usuario usuario tío gustavo bolívar,1,1,0
usuario indio saber irs,1,1,0
usuario huy siii tal malparido lesbiano odiar veneco odiar paisa mezquino rastrero hpta usuario,1,0,1
malparidaaa,1,0,1
usuario usuario conocer calo socio,1,0,1
pobre negro jaja medellin ciudad eterno primavera url,1,1,0
alguno punto camino llegar momento dar contar gente malparido emoji cara desanimado emoji,1,0,0
gandía perro hijueputaaa,1,0,0
uyy gonorrea fastidio parce,1,0,0
gonorrea macnelly torre mejor pasado discusión,1,0,0
odio mlpda partir hpta brazo quedarte encerrado,1,0,0
perro hijueputa dar coronavirus,1,0,0
hpta vida,1,0,0
hpta día tanto estresante madre,1,0,0
clavado tanto hpta emoji cara resoplar emoji,1,0,0
papiiiir  gonorrea cascado pegar mujer jsjajakjskskak quedateencasa envivo jubilado jajakajakajar,1,0,0
hpta arturo cabezaemonda,1,0,0
usuario siempre loca,1,0,1
hpto baum malo jaja,1,0,0
usuario odio mc,1,0,0
preguntar tanto paisa responder jum si mago llamar magonorreajaja,1,0,0
preguntar tanto paisa responder jum si mago llamar magonorrea,1,0,0
gonorrea disciplín país dar rabia,1,0,0
usuario usuario usuario ver puesde dónde tanto caritativo viejo hijueputa,1,0,1
usuario sabelotodir toxico,1,0,1
muchísimas gonorrea,1,0,0
usuario si malparida ir llevar pa grabar,1,0,1
usuario usuario usuario jaja pasar carro pitar pleno emisión decir callate gonorrea ome emoji cara mano boca emoji,1,0,0
gonorrea gobierno hora si heroes medicoscamioneros taxistad estudiante etc nooo sesn hps falso,1,0,0
odiooo casa papelll cuarentena salir 5ta temporada faltar año emoji cara sudor frío emoji,1,0,0
ver nadie sabio amor mujeres bogotá gonorrea,1,0,0
básicamente odio abril todo cosa mala pasar mes emoji cara desesperado emoji emoji cara desesperado emoji,1,0,0
usuario usuario hpta mas vendido,1,0,0
jaja malparido,1,0,1
usuario usuario usuario malnacido huevo grande igual pasar claro,1,0,0
jueputo ir dar tres milagrosyupiui si gonorrea perro gonorreaamo mundo,1,0,0
revisar hoy libreta encontrar mensajedizque querer x100premenos mal querer gonorrea mata,1,0,0
usuario dígalo hombre piel negro,1,1,0
usuario negro así decir negros cali escuchado grupo niche míralo url,1,1,0
usuario wacala odio hacer yo ver emoji cara enfadado emoji,1,0,0
usuario serio pirobo pasar,1,0,0
jaja gonorrea jaja,1,0,0
usuario usuario usuario usuario linda extraño care monda,1,0,1
mujer machorra hpta,1,0,1
parcir dejar spoiler casa papel maldito gonorrea emoji cara cabreado emoji,1,0,0
gonorrea sentir yo tanto solo vida,1,0,0
arturo román malparido embarazado dolor hueva,1,0,1
1480 persona fallecer hoy causa covid19 unidos gonorrea,1,0,0
usuario tanto hps hora poner victima jodido povo gonorreas dr mente hueco,1,0,0
maldito asqueroso ir ganar,1,0,1
odio pdta jaja mamita lavolo mejor duo,1,0,0
gonorrea emoji tono piel claro medio emoji,1,0,0
ahora resultar gonorrea osea usted emoji cara desaprobación emoji emoji cara desanimado emoji,1,0,0
pe pelear abuelita emoji cara mano boca emoji pa seguir pelear chao desgaste dos leer hoy gonorrea,1,0,0
amiguito mandar gonorrea,1,0,0
gonorrea extraño calle,1,0,0
fav decir personaje vendedora rosa pareces ome gonorrea ome,1,0,0
re confirmar gonorrea ome gonorrea,1,0,0
odio usuario emoji cara cabreado emoji emoji cara cabreado emoji emoji cara cabreado emoji,1,0,0
tristeza tanto malparido acabar dejar casa papel puta madre emoji cara llorar fuerte emoji,1,0,0
gonorrea tanto cruel,1,0,0
usuario usuario usuario ojala castigar asqueroso lengua url,1,0,0
poder decir él cómo gonorrea amor corazón emoji cara favor emoji emoji cara sonreir ojo corazón emoji emoji cara sonreir corazón emoji mismo persona,1,0,0
jaja llevar siete año mondá pola virtual pa gonorrea mianiversariodetwitter url,1,0,0
hablar taco tanto gonorrea garganta,1,0,0
usuario usuario malparido cochín neaaa,1,0,1
usuario uy pirobo,1,0,0
usuario usuario par gonorrea,1,0,0
arturito cada día odio triplehp malparido,1,0,0
echar él mente situación jajdkskdnksks gonorrea,1,0,0
vuelir gonorrea ahí si comenzar valorar tú,1,0,0
vuelvase gonorrea ahí si empezar valorarte,1,0,0
usuario usuario llorar,1,0,1
entonces gonorrea,1,0,0
jaja tanto tonto aveces jajate amar,1,0,1
recordar deber plata resto gonorrea,1,0,0
usuario odio spoiler,1,0,0
mk comparar vaina gonorrea,1,0,0
usuario si jueputa saber final buscar mismo gonorrea,1,0,0
respetar care verga,1,0,0
usuario salir ver si trabajar emoji caro decepcionado emoji,1,0,0
usuario ay odiooo matado,1,0,0
chao malparida,1,0,1
usuario usuario jaja callate negro,1,1,0
usuario agenda medellín full hacer mente,1,0,0
muévetar malparido hacer mejor jalo url,1,0,1
usuario malparido pueblerino,1,0,1
jaja ue inmaduro oír metasela culo gonorrea,1,0,0
terminar pleno cuarentena si gonorrea,1,0,0
pensar cumpleaños 2015 2018 gonorreas cumpleaños 2020 cómo categorizar él,1,0,0
usuario punteado publicación usuario jaja cómo odio sólo querer aportar,1,0,0
usuario puteado publicación usuario jaja cómo odio sólo querer aportar,1,0,0
usuario máquina podra diagnosticar clase gonorrea cepa auv,1,0,0
usuario excelente,1,0,0
malparido loca decir todo clase hacer plagio terminar metido proceso semestre pelear emoji caro sonreir ligeramente emoji,1,0,1
dar pena usuario madurar gonorrea chacar emoji cara náusea emoji andar desinformar,1,0,0
usuario usuario gonorrea cabeza,1,0,0
usuario ay leooo odio emoji cara llorar fuerte emoji emoji cara llorar fuerte emoji emoji cara llorar fuerte emoji ahora ir poder dormir,1,0,0
pirobos tanto chistoso emoji cara expresión emoji,1,0,0
gonorrea escribir pa enviar yo mem calva pedir yo favor,1,0,0
malparido luz,1,0,0
odiooo ojala salir hemorroid este parir lacasadepapel url,1,0,0
puro bandida hora twitter,1,0,1
obsesionado culo negro dios mio loco,1,1,1
whatsapp mandan porno twittear dar rt porno jaja saturado tanto malparido,1,0,1
gonorrea tener veinte año saber vida seguir ser mismo hacer cuatro,1,0,0
gonorrea tener dormir solo 4 hora clisa virtul diplomado,1,0,0
usuario cuál necesidad odio jaja,1,0,0
yisus dar amiga tanto ebrio gonorrea,1,0,0
jaja gonorrea principal tendencia cubierto nombre ciudad puesto personaje emoji cara revolver él risa emoji,1,0,0
odio odio hacer,1,0,0
entender porqué doc decir año alcohol gonorrea,1,0,0
huevo ujum bandido,1,0,1
gonorrea hambre dar hora,1,0,0
gonorrea ome existir zancudo,1,0,0
ah gonorreaaas comportar,1,0,0
soplar gonorrea jaja usuario,1,0,0
usuario negro asqueroso,1,1,0
usuario usuario usuario 70gonorrea agonia persona,1,0,0
bobogotano alcaldela machorra campaña presidencialle toca duqueeeerrrdaaa,1,0,1
poder creer portado mk defintivamente odiooo fucking coronavirusss pirobo gonorrea quitar yo chromatico,1,0,0
usuario gonorrea tumo tinto calle,1,0,0
buen día levantar él gonorrea emoji altavoz volumen alto emoji,1,0,0
gonorrea tod,1,0,0
ver gonorrea jaja emoji cara llorar risa emoji,1,0,0
usuario ahi estar imbécil izquierdista jodeir mentira desestabilizar malnacido,1,0,0
compares yo ser ser malparir loco emoji cara guiñar ojo emoji emoji cara feliz ojo sonrient emoji,1,0,1
si usted pareja interesadusuario alguien necesidad buscar persona hablar tanto care verga,1,0,0
usuario usuario definición gráfico par indio hpts,1,1,0
dos uno malparida uno grande hija triple hijo puto,1,0,1
usuario odiooo,1,0,0
gonorrea vida dormir bebé despierto tal reunión salir,1,0,0
usuario maldito perra peor ir pasar emoji cara cabreado emoji emoji cara cabreado emoji emoji cara cabreado emoji,1,0,1
usuario usuario pirobo poco cosa igual petro,1,0,0
usuario usuario trabajar pirobo elegir,1,0,0
usuario wtf querer ser malparir justo url,1,0,1
usuario hp malparido faltar poner él perfil,1,0,1
buen día bue venido día malparido 40tena pasar bien hoy emoji cara revolver él risa emoji emoji cara loco emoji,1,0,0
malnacido gringo fueratrumpdevenezuela,1,0,0
malparido fastidiós cobrar,1,0,1
usuario cerdo altura vidal gamin cabron cules mierda emoji cara cabreado emoji emoji pulgar hacia abajo tono piel claro emoji,1,0,0
usuario gonorrea si dramático escribir jummm,1,0,0
maldito loco cabeza,1,0,1
uy nooo gonorrea,1,0,0
usuario vos dejar hacer spoliers odiooo,1,0,0
usuario vaín malparido hp cancer,1,0,0
usuario gonorrea track fondo bien borracho,1,0,0
gonorrea presentación url,1,0,0
usuario pq gonorrea gonorrea,1,0,0
usuario ver grandísimo hijo puto mentiroso malparido cocinero tanto chismós url,1,0,1
pa matar hpta man,1,0,0
despiert querer sepas odio usuario,1,0,0
usuario simio,1,1,0
machorra alcaldesa acción coronavirusrolos huevones mirar eligieronchuchas,1,0,1
pirobos gonorrea,1,0,0
simio decir calvono entender,1,1,0
increible año tanto gonorreo daño aire pleno cuarentena,1,0,0
día 19 cuarentén gonorrea volver ir señal todo mañana,1,0,0
movistar care verga ir señal pleno conversación buen ver,1,0,0
gente hpto pa montar él amigo,1,0,0
plata narcotrafico sostener gonorrea maduro,1,0,0
unfollow pa todo gonorrea hijueputas,1,0,0
gonorrea ejercicio llevar mercado apartamento bolsa,1,0,0
dónde manic pixie dream girl desesperado malparida,1,0,1
hey dejar spolear care vergas entender gente terminado serie todavía,1,0,0
jaja perro hijueputa,1,0,0
semana santo puta país simio odio aquí,1,1,0
soñar gonorrea jqjaua lok,1,0,0
usuario usuario usuario ineptar calladaincompetente,1,0,1
parchís tik tok gustar usted malparido,1,0,1
amar odio jejejeje,1,0,0
living in gánster paradise gonorrea hpta mamado encierro querer culear fumar perra cali url,1,0,0
usuario usuario coma mierda gonorrea,1,0,0
usuario perra hijueputa ir afuera fufa igual madre solo basura poder haber ser cagar zorra,1,0,1
usuario usted parir perra usted cagar zorra,1,0,1
usuario vulgaridad dar vida sapa care verga,1,0,1
usuario bandido veodonde estar capuchos hps,1,0,1
usuario cual parcir re cerca gonorrea,1,0,0
usuario así usted keyla vergüenza triple malparido,1,0,1
usuario decir noticiero radial mañana respetar plaga triple hijueputa,1,0,0
zorra siempre comer él emoji cara llorar risa emoji,1,0,1
ps stalkea mala pa ud gonorrea jaja,1,0,0
ay gonorreaaa emoji tono piel medio emoji,1,0,0
gonorreaa limpiar,1,0,0
usuario usuario ñooo mor nuncapero ps analizar decir realidad jaja,1,0,0
usuario jaja emoji mono boca tapado emoji emoji mono boca tapado emoji emoji mono boca tapado emoji,1,0,0
usuario andar hijueputa discurso música esperanzo gonorrea,1,0,0
usuario usuario si servir feno mucho amor,1,0,0
gente valer culo malparido cuarentén url,1,0,0
usuario ayyy gonorreaa mátese emoji cara revolver él risa emoji,1,0,0
usuario usuario matt saber decir carechimba soplete gonorrea pirobo,1,0,0
usuario si pasar boletear twitter,1,0,0
quejar genio mamá bien gonorrea,1,0,0
parcir gente re malparido jaja,1,0,0
malparir cuarentén querer tatuaj emoji cara desanimado emoji,1,0,0
usuario usuario cuánta dureza,1,0,0
perrito asomar ventana gritar desesperado odio coronavirus url,1,0,0
viejo chismosa dejar paz menos época,1,0,1
calooor tanto gonorrea emoji cara triste aliviado emoji emoji carar ojo blanco emoji url,1,0,0
usuario usuario usuario corrupto inepto quedar grande btá,1,0,1
vos sos malo persona vos sos perro hijueputa emoji cara llorar risa emoji emoji cara llorar risa emoji emoji cara llorar risa emoji,1,0,0
acordar película gonorrea emoji cara llorar fuerte emoji,1,0,0
pes 2020 deber tener micrófono activo partido online usuario gonorrea ome ome emoji cara llorar risa emoji,1,0,0
jaja parchís gonorrea si usted conseguir número persona querer usted dormido,1,0,0
usuario uish jaja malparido enferma jaja déjelo crecer,1,0,1
usuario viejo tanto asqueroso venenós colombiano saber falso revista semama url,1,0,1
gonorrea emoji cara llorar fuerte emoji emoji cara llorar fuerte emoji,1,0,0
gandía odio,1,0,0
creer invitar trío contar emoji caro decepcionado emoji malparidas viejo,1,0,1
gonorrea hacer negocio tombos siempre torcer,1,0,0
acordar primero vez probar rumba gay si gonorrea dar él dulce bebé emoji cara llorar risa emoji emoji cara llorar risa emoji emoji cara llorar risa emoji,1,0,0
indio homemade url,1,1,0
pagar mercado hacer elegir cerveza whisky odio virus mierdo,1,0,0
usuario vealos ver incumplir cuarentena gonorrea,1,0,0
usuario ineptar bogotá ciudad mitad caso covid19 colombiale quedar grande señora,1,0,1
usuario parecer ex modo triple hijueputa emoji cara sudor frío emoji,1,0,0
usuario negro empelota,1,1,0
jajaparo inventar disculpa nadie ganar este ineptar,1,0,1
gana uno negro,1,1,0
siempre gonorrea jaja,1,0,0
usuario amiga tampoco envíar foto solo pensar viaje gente gonorrea emoji carar ojo blanco emoji,1,0,0
gonorrea emoji cara resoplar emoji,1,0,0
usuario usuario si odiar,1,0,0
gonorrea ex invitar jugar parchís novia hermano jaja chimba pues,1,0,0
miento malparido solo,1,0,1
usuario perro hijueputa decir uribe dejar petro,1,0,0
bajar taco bca esperar pirobos,1,0,0
gonorrea hombreees,1,0,0
usuario saquel derecho autor demandé gonorrea tanto bobito jaja,1,0,0
hacer él perfil indio rómulo khe khé gooorda,1,0,1
mujer despechado activo bandida llevar dentro,1,0,1
dedo huelar cuc mocho gonorrea jaja,1,0,0
usuario uyyy gonorrea nivel,1,0,0
gonorrea así,1,0,0
usuario usuario usuario usuario confinamiento bogotá inepta alcaldesa recocho,1,0,1
gonorrea luchar,1,0,0
nivel máximo ser asquerosamente hp,1,0,0
wrestlemania36 primero noche evento mas menos gonorrea último lucha,1,0,0
usuario usuario sintiéndome realizado tener 10k mca jaja gonorrea,1,0,0
usuario usuario tierra ciegos pirobo chacho,1,0,0
usuario pirobo,1,0,0
gonorrea encierro,1,0,0
tanto gonorrea lugar afrontar problema responsabilizar tirar todo mierda demá,1,0,0
cerrar cuenta gonorrea venenoso hp ome usuario,1,0,0
solo recordar dar usted usted valer mierda así pico cuidar gonorrea,1,0,1
mcaaa gonorreaaa,1,0,0
usuario usuario usuario gravísimo señora alcaldesa ineptar,1,0,1
gonorreaa día,1,0,0
25 año todavía acné problema gonorrea,1,0,0
vecino poner música popular vallenato cantar tanto gonorreaque gana ser emoji cara favor emoji,1,0,0
todavía ardido viejo malparido,1,0,1
usuario encerrado cuarentena pa venir cualquiera malnacido contagiar,1,0,0
vez destino re gonorrea,1,0,0
decir él gonorrea amor mismo persona,1,0,0
usuario usuario usuario ay gonorrea ir dejar salir acá,1,0,0
parcir gonorrea sinceramente preferible totalmente solo lado persona hacer sentir tal,1,0,0
gonorrea si sentir malo,1,0,0
usuario odio emoji cara desanimado emoji,1,0,0
usuario usuario jaja ácido mk odio,1,0,0
usuario infierno recibir malnacido,1,0,0
gracia cielo declaración sido chat jaja gonorreaaa,1,0,0
usuario viejo inepto politiquera populista barato abasto días viernes url,1,0,1
subir nud aquí subir despecho malparido vida,1,0,0
indio borracho hoy sabado cuarentena casa puto pereza emoji cara cansado emoji,1,1,0
gonorrea acabo ver jajaaj,1,0,0
cuarentenatotal preguntar viejito pirobo salva covid19 compartir verga emoji cara revolver él risa emoji,1,0,0
gonorrea vecino razón montar perro,1,0,0
pensar ver chepe malparido casi morir emoji cara llorar fuerte emoji,1,0,0
peluca novia tanto zorrar ahí probar,1,0,1
usuario usuario usuario usuario jaja maestro,1,0,1
mk gonorrea parcero cumplir año mes mandar re detalle casa apurado acordar emoji cara sonreir sudor frío emoji,1,0,0
usuario oíste gonorrea jugar parchís yo jaja amar,1,0,0
usuario usuario amar pirobos alto reencuentro después mierdero emoji corazón negro emoji,1,0,0
jum gonorreaaa gamba patrocinar insomnio hora vivo emoji fuego emoji emoji fuego emoji emoji fuego emoji,1,0,0
uy hijueputa conocido acabar rapar cabeza quedar terrible fatal literal parecer liendro gonorrea,1,0,0
jugar malparido partida parchis sacar solo maldito ficha monda heyyy hpta juego cv,1,0,0
siempre grito silencio oir llamado ahí levantar yo entonces querer pirobo,1,0,0
tetico todo negra parecer dos uva pasar 3,1,1,0
malparido cuarentena,1,0,0
asco escribir wpp solo saber escribir guasahp osea indio alejateee,1,1,0
parcir pues final falso alarma gonorrea bloqueo tanto hpmark think about it emoji cara desanimado emoji url,1,0,0
jamás sentir tanto identificado tweet man gustar malparida después llorar,1,0,1
mandar pues nud dm gonorreass,1,0,0
salir pirobos,1,0,0
pensar si pum gonorrea menos,1,0,0
solo guaracha ahora technera gente chistoso solo moda pirobos,1,0,0
dibujo pinche pirobo necesitar vida url,1,0,0
gonorrea silla fuerte ps,1,0,0
vida malparido parálisis sueño emoji cara resoplar emoji emoji cara resoplar emoji,1,0,0
gonorrea mateo dizque diego parecer viejito decir obvio hacer reír mk,1,0,0
usuario mk hijueputas misa abuelita gonorrea,1,0,0
solo cerrar ojo recordar refrán pastuso indígén,1,1,0
gonorrea jaja cómo echar spam poder reaccionar hptaaa desesperir,1,0,0
aprovéchate niche ahora embargar pena emoji hombre bailar tono piel oscuro emoji emoji fuego emoji,1,1,0
parceee así escuchar día cielo gonorreaaa si matar,1,0,0
ay parce sapoperro hijueputa ir pasar 7a,1,0,0
usuario farsante malnacido basura,1,0,0
servicio social cc usuario,1,0,0
pobre malparidasiga chupandoseloun abrazo,1,0,1
hijueputa machorraahoro decir culpa duqueinepto renunciebobogota alcaldem,1,0,1
machorra claudioconvirtió bobogota whann colombia rolo huevonesmiren elegir,1,0,1
mánda perra allá coger fusil acompañar invasor ver si cojón malparido,1,0,1
usuario citar calle perra valla país combatir junto invasor ver si cojón malparido,1,0,1
bobogota hijueputas rolosmiren eligieronmachorra bruto bestiadoctoro mierdo,1,0,1
viejo asqueroso guerrillero ojalá cierto mejor poder pasar yo criminal usted,1,0,1
usuario usuario gonorrea jaja ir dejar último entregar él pinchi cartón,1,0,0
usuario viejo perra hp,1,0,1
usuario casi nadieo casi mentirós ineptaxenofobicalesbianainmoralpopulista,1,0,1
usuario emoji serpiente emoji jaja,1,0,0
odio dolar usuario valer emoji corazón rojo emoji,1,0,0
usuario hablar care verga,1,0,0
usuario poder esperar pecueca gonorrea,1,0,0
uy gonorreaaa tampoco tratar emoji cara vomitar emoji emoji cara vomitar emoji emoji cara vomitar emoji,1,0,0
huy sisa gonorrea emoji cara llorar risa emoji emoji cara llorar risa emoji url,1,0,0
usuario usuario usuario usuario usuario mandela planeta simio cuba bolivia,1,1,0
